Date,ClockPerformance
28-Feb-05,0.0408
31-Mar-05,0.0067
30-Apr-05,-0.0201
31-May-05,0.0208
30-Jun-05,0.0236
31-Jul-05,0.0296
31-Aug-05,-0.0072
30-Sep-05,0.0303
31-Oct-05,-0.0434
30-Nov-05,0.0246
31-Dec-05,0.0177
31-Jan-06,0.0263
28-Feb-06,-0.0097
31-Mar-06,0.0190
30-Apr-06,0.0204
31-May-06,-0.0230
30-Jun-06,0.0050
31-Jul-06,0.0260
31-Aug-06,-0.0004
30-Sep-06,-0.0071
31-Oct-06,0.0382
30-Nov-06,0.0187
31-Dec-06,0.0124
31-Jan-07,0.0218
28-Feb-07,-0.0017
31-Mar-07,0.0099
30-Apr-07,0.0160
31-May-07,0.0138
30-Jun-07,-0.0260
31-Jul-07,-0.0180
31-Aug-07,0.0046
30-Sep-07,0.0360
31-Oct-07,0.0154
30-Nov-07,-0.0389
31-Dec-07,0.0117
31-Jan-08,-0.0028
29-Feb-08,0.0388
31-Mar-08,-0.0191
30-Apr-08,0.0119
31-May-08,0.0066
30-Jun-08,0.0032
31-Jul-08,-0.0190
31-Aug-08,-0.0009
30-Sep-08,-0.0140
31-Oct-08,-0.0213
30-Nov-08,0.0199
31-Dec-08,0.0245
31-Jan-09,-0.0019
28-Feb-09,-0.0343
31-Mar-09,-0.0036
30-Apr-09,0.0609
31-May-09,0.0030
30-Jun-09,0.0135
31-Jul-09,0.0445
31-Aug-09,0.0192
30-Sep-09,0.0174
31-Oct-09,0.0080
30-Nov-09,0.0370
31-Dec-09,0.0533
31-Jan-10,-0.0481
28-Feb-10,0.0258
31-Mar-10,0.0361
30-Apr-10,0.0130
31-May-10,-0.0608
30-Jun-10,-0.0216
31-Jul-10,0.0555
31-Aug-10,-0.0194
30-Sep-10,0.0619
31-Oct-10,0.0348
30-Nov-10,-0.0100
31-Dec-10,0.0654
31-Jan-11,0.0178
28-Feb-11,0.0325
31-Mar-11,0.0014
30-Apr-11,0.0267
31-May-11,-0.0134
30-Jun-11,-0.0293
31-Jul-11,0.0180
31-Aug-11,-0.0672
30-Sep-11,-0.0336
31-Oct-11,0.0648
30-Nov-11,-0.0173
31-Dec-11,0.0314
31-Jan-12,0.0395
29-Feb-12,0.0211
31-Mar-12,0.0004
30-Apr-12,0.0014
31-May-12,-0.0322
30-Jun-12,0.0282
31-Jul-12,0.0349
31-Aug-12,-0.0021
30-Sep-12,0.0032
31-Oct-12,-0.0040
30-Nov-12,0.0079
31-Dec-12,0.0011
31-Jan-13,0.0066
28-Feb-13,0.0195
31-Mar-13,0.0114
30-Apr-13,0.0087
31-May-13,0.0050
30-Jun-13,-0.0340
31-Jul-13,0.0190
31-Aug-13,-0.0253
30-Sep-13,0.0277
31-Oct-13,0.0347
30-Nov-13,0.0024
31-Dec-13,0.0022
31-Jan-14,-0.0210
28-Feb-14,0.0304
31-Mar-14,0.0204
30-Apr-14,0.0078
31-May-14,0.0272
30-Jun-14,0.0136
31-Jul-14,-0.0084
31-Aug-14,0.0211
30-Sep-14,-0.0120
31-Oct-14,0.0100
30-Nov-14,0.0208
31-Dec-14,-0.0031
31-Jan-15,0.0349
28-Feb-15,0.0325
31-Mar-15,0.0094
30-Apr-15,-0.0172
31-May-15,-0.0036
30-Jun-15,-0.0340
31-Jul-15,0.0293
31-Aug-15,-0.0593
30-Sep-15,-0.0232
31-Oct-15,0.0667
30-Nov-15,0.0105
31-Dec-15,-0.0223
31-Jan-16,-0.0294
29-Feb-16,0.0014
31-Mar-16,0.0277
30-Apr-16,-0.0090
31-May-16,0.0209
30-Jun-16,0.0219
31-Jul-16,-0.0064
31-Aug-16,-0.0022
30-Sep-16,-0.0035
31-Oct-16,-0.0135
30-Nov-16,0.0074
31-Dec-16,0.0353
31-Jan-17,-0.0019
28-Feb-17,0.0191
31-Mar-17,-0.0086
30-Apr-17,-0.0048
31-May-17,-0.0050
30-Jun-17,-0.0080
31-Jul-17,0.0098
31-Aug-17,-0.0014
30-Sep-17,0.0234
31-Oct-17,0.0163
30-Nov-17,0.0007
31-Dec-17,0.0082
31-Jan-18,0.0248
28-Feb-18,-0.0360
31-Mar-18,-0.0191
30-Apr-18,0.0267
31-May-18,0.0050
30-Jun-18,-0.0092
31-Jul-18,0.0151
31-Aug-18,-0.0050
30-Sep-18,0.0002
31-Oct-18,-0.0505
30-Nov-18,-0.0039
31-Dec-18,-0.0594
31-Jan-19,0.0570
28-Feb-19,0.0248
31-Mar-19,0.0167
30-Apr-19,0.0149
31-May-19,-0.0278
30-Jun-19,0.0276
31-Jul-19,0.0151
31-Aug-19,-0.0040
30-Sep-19,-0.0056
31-Oct-19,-0.0041
30-Nov-19,0.0038
31-Dec-19,0.0000
31-Jan-20,0.0000
29-Feb-20,0.0000
31-Mar-20,0.0000
30-Apr-20,0.0000
31-May-20,0.0000
